eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
R,1611753,1611801,52,2317.3,935.0,1502.9,429.8,9.4,231
R,1611853,1611861,12,1407.3,286.9,1392.3,225.7,0.7,91
R,1611921,1611933,16,1339.8,408.4,1297.0,502.8,1.2,102
R,1612077,1612093,20,1300.0,699.0,1422.6,751.8,1.2,94
R,1612245,1612477,236,1449.1,821.0,785.1,2391.3,19.1,399
R,1612509,1612565,60,788.3,2267.5,1844.9,2152.4,8.9,421
R,1612589,1612801,216,1762.4,2091.4,1858.1,343.8,20.8,442
R,1612997,1613009,16,1805.1,181.1,1780.0,110.5,0.9,76
R,1613177,1613185,12,1637.2,285.6,1641.7,341.2,0.7,86
R,1613233,1613261,32,1637.2,285.6,1641.7,341.2,0.7,0
R,1613397,1613409,16,1517.9,706.7,1431.3,817.7,1.6,139
R,1613473,1613505,36,1387.6,826.0,1453.1,706.5,1.6,125
R,1613809,1613825,20,1608.3,289.1,1798.2,207.9,1.9,131
R,1614209,1614233,28,1937.9,-43.5,1940.0,6.3,0.6,190
R,1614261,1614309,52,1992.1,35.5,2706.3,-167.7,6.7,251
R,1614421,1614637,220,2744.8,-143.1,1858.1,1365.9,19.7,780
R,1614837,1615037,204,1879.9,1376.2,1905.2,1101.3,3.4,1031
R,1615341,1616761,1424,1885.9,1089.7,1593.9,359.2,9.2,965
R,1616957,1617189,236,1564.9,330.4,1902.1,1258.9,11.6,970
R,1617361,1617789,432,1933.7,1184.1,1893.6,1116.6,0.9,938
R,1618265,1618441,180,1856.7,1092.6,1884.3,1172.8,1.0,935
R,1619709,1619749,44,1944.2,1169.4,1291.3,1253.9,5.7,180
R,1619997,1620017,24,1208.8,1293.0,1001.6,1369.5,2.0,115
R,1620217,1620233,20,919.5,1439.3,782.8,1460.3,1.1,81
R,1621525,1621625,104,712.1,1481.0,730.1,1367.6,1.3,337
R,1622565,1622601,40,796.5,1437.1,637.1,2158.5,8.4,301
R,1622629,1622665,40,591.8,2097.7,762.0,1454.3,7.6,305
R,1624041,1624057,20,858.5,1412.4,1048.9,1446.7,1.6,119
R,1624213,1624349,140,1120.5,1453.3,1012.3,1437.6,0.9,702
R,1624905,1624913,12,1013.1,1441.7,1027.4,1378.1,0.8,97
R,1624941,1625421,484,1010.1,1459.0,1490.8,1471.3,4.2,748
R,1625577,1625893,320,1467.3,1413.1,1583.6,1398.9,1.0,893
R,1626145,1626161,20,1609.8,1318.4,1753.5,1357.4,1.4,99
R,1626521,1626537,20,1789.4,1373.9,1880.7,1221.7,2.1,148
R,1628341,1628389,52,1873.4,1175.7,2845.4,1389.7,9.2,263
R,1628761,1628773,16,2957.6,1455.4,3002.9,1525.2,1.0,89
R,1629757,1629769,16,3069.1,1531.8,3106.4,1445.7,1.1,98
R,1632517,1632785,272,3149.9,1382.2,3023.2,1629.8,3.3,3014
R,1632917,1632925,12,3040.6,1592.6,3049.1,1546.2,0.6,73
R,1633073,1634237,1168,3094.7,1399.4,2629.8,1934.3,7.8,1884
R,1634313,1634325,16,2762.2,1674.5,2878.6,1685.7,1.1,91
R,1634785,1635061,280,2981.8,1540.4,1772.9,1247.7,11.4,681
R,1635321,1635629,312,1835.7,1091.4,1991.5,1325.7,3.2,697
R,1637637,1637677,44,1911.8,1172.3,2808.8,1344.5,8.3,268
R,1638145,1638153,12,3004.7,1383.0,3049.0,1402.1,0.5,58
R,1639605,1639705,104,3140.7,1407.2,3094.0,1363.4,0.7,534
R,1640225,1640437,216,3117.4,1341.2,3005.0,1661.6,4.1,723
R,1640805,1640825,24,3047.4,1409.1,3099.4,1205.0,2.6,167
R,1641473,1641697,228,3088.8,1223.4,3052.5,1452.6,2.9,903
R,1641749,1642301,556,3074.3,1369.8,2434.2,1336.6,5.7,649
R,1642605,1642873,272,2460.7,1172.7,2157.6,1172.9,2.7,1085
R,1642977,1642993,20,2164.5,1024.3,2041.0,1042.6,1.1,79
R,1643293,1643301,12,1979.8,1099.9,1933.1,1120.7,0.5,60
R,1644353,1644389,40,1992.1,1186.0,2587.3,1201.5,5.3,164
R,1644581,1644601,24,2744.1,1217.1,2934.8,1336.3,2.2,132
R,1646377,1646525,152,3184.3,1245.1,3048.7,1717.3,5.9,570
R,1647141,1647237,100,3184.2,1258.0,2303.9,1194.7,7.9,342
R,1647557,1647861,308,2232.4,1045.0,1989.4,1196.5,2.9,794
R,1650613,1650677,68,1895.5,1118.5,982.5,1353.9,8.3,164
R,1650717,1650769,56,812.4,1384.3,713.2,1438.4,1.0,197
R,1651989,1652109,124,681.1,1404.8,651.5,1315.5,1.1,289
R,1653137,1653153,20,759.4,1398.5,910.5,1425.6,1.3,93
R,1653517,1654133,620,963.8,1393.4,1384.0,1285.3,3.8,722
