subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response,phase,fixation_x_mean,fixation_x_max,fixation_y_mean,fixation_y_max,pupil_avg_mean,pupil_avg_max,fixation_duration_mean,saccade_amplitude_mean,saccade_amplitude_max,saccade_velocity_mean,saccade_velocity_max,saccade_duration_mean
SV021,R,35,3,3,0,1,3,Response,,,,,,,,3.6,3.6,3054.0,3054.0,3364.0
SV021,R,36,3,3,0,0,3,Response,1015.75,1409.5,2371.9249999999997,2587.6,529.25,843.0,197.66666666666666,3.7,9.8,329.2307692307692,1033.0,130.76923076923077
SV021,R,37,2,2,1,0,2,Response,504.03999999999996,585.4,3049.2200000000003,3270.0,331.6,516.0,200.0,7.75,22.9,390.6666666666667,849.0,171.33333333333334
SV021,R,38,2,0,1,1,1,Response,2629.4666666666667,2749.7,1569.3,2002.5,848.6666666666666,1031.0,113.33333333333333,4.475,9.6,480.5,971.0,207.0
SV021,R,39,3,0,0,1,2,Response,2282.85,2612.7,1478.15,1826.3,857.5,950.0,100.0,5.966666666666666,12.2,538.0,1347.0,1261.3333333333333
SV021,R,40,3,2,1,1,2,Response,2887.777777777778,3270.0,2633.9777777777776,3270.0,382.1111111111111,725.0,108.88888888888889,4.05,13.4,521.2,2237.0,82.8
SV021,R,41,2,0,1,0,2,Response,363.15,423.2,3158.1,3270.0,237.0,255.0,700.0,16.633333333333333,24.9,495.6666666666667,774.0,80.0
SV021,R,42,2,0,1,1,1,Response,2550.5,2573.9,1866.55,2110.5,747.5,847.0,232.0,5.833333333333333,12.2,297.3333333333333,647.0,293.3333333333333
SV021,R,43,2,0,1,0,2,Response,598.8833333333333,1204.2,3043.75,3270.0,314.6666666666667,696.0,285.3333333333333,6.285714285714286,17.0,238.28571428571428,429.0,76.0
SV021,R,44,3,2,0,1,3,Response,2769.785714285714,2958.9,1587.6142857142856,1828.0,756.0,899.0,302.85714285714283,2.1375,5.3,189.375,432.0,49.0
SV021,R,45,2,0,1,0,2,Response,576.77,1075.0,2922.17,3270.0,348.4,826.0,112.0,4.027272727272727,16.9,800.9090909090909,3270.0,342.1818181818182
SV021,R,46,3,2,0,0,3,Response,1028.4071428571428,1535.2,2610.914285714286,3270.0,513.9285714285714,771.0,149.14285714285714,5.126666666666667,14.1,265.4,634.0,59.46666666666667
SV021,R,47,3,3,1,0,3,Response,848.99,1353.4,2413.9700000000003,3270.0,605.9,921.0,178.4,5.127272727272727,24.0,485.1818181818182,3270.0,61.81818181818182
SV021,R,48,3,0,0,1,3,Response,3103.808333333333,3270.0,2281.2833333333333,2657.7,521.75,884.0,133.33333333333334,2.5615384615384613,13.8,641.2307692307693,2058.0,121.53846153846153
SV021,R,49,3,3,1,0,3,Response,890.2875,1427.2,2470.7375,3270.0,647.0,948.0,282.5,7.944444444444445,31.7,596.1111111111111,3270.0,56.44444444444444
SV021,R,50,3,3,0,0,3,Response,1051.8692307692306,1380.5,1696.9461538461537,2661.4,772.8461538461538,892.0,131.3846153846154,3.2214285714285715,12.8,288.2857142857143,637.0,68.85714285714286
SV021,R,51,3,3,1,1,3,Response,2964.16,3270.0,2253.4700000000003,3129.1,497.2,812.0,252.4,3.3181818181818183,8.9,344.09090909090907,892.0,64.36363636363636
SV021,R,52,2,2,1,0,2,Response,819.4142857142857,1112.5,2117.657142857143,3270.0,671.5714285714286,888.0,214.85714285714286,5.425,15.9,275.875,652.0,105.5
SV021,R,53,2,3,1,1,3,Response,2981.7285714285713,3270.0,2486.828571428571,3246.5,515.0,885.0,194.28571428571428,5.65,20.3,321.0,794.0,188.5
SV021,R,54,3,2,1,1,2,Response,2638.3333333333335,2751.3,1533.2166666666665,2023.8,683.1666666666666,900.0,218.0,6.983333333333333,14.8,544.0,1671.0,91.33333333333333
SV021,R,55,3,3,0,0,3,Response,806.9722222222222,1360.5,2713.7944444444443,3270.0,542.7222222222222,907.0,471.1111111111111,4.752631578947368,27.2,294.7368421052632,649.0,111.78947368421052
SV021,R,56,2,0,0,1,3,Response,2903.157142857143,3270.0,1901.9285714285713,2871.1,621.5714285714286,923.0,272.0,8.3,21.8,524.75,1122.0,213.0
SV021,R,57,2,2,1,0,2,Response,799.4,1180.9,2407.9636363636364,3270.0,612.3636363636364,982.0,240.36363636363637,4.133333333333334,24.1,279.8333333333333,761.0,78.0
SV021,R,58,3,0,1,1,2,Response,2650.9,2738.4,2248.6,2494.1,657.75,755.0,586.0,5.74,13.7,297.8,940.0,76.0
SV021,R,59,3,3,0,1,3,Response,2887.775,3270.0,1981.7583333333332,2660.9,633.5,1070.0,116.33333333333333,3.269230769230769,14.7,519.5384615384615,2057.0,172.6153846153846
SV021,R,60,3,2,0,1,2,Response,3102.4545454545455,3270.0,2211.9,2743.7,460.45454545454544,931.0,273.8181818181818,2.7916666666666665,10.0,238.75,732.0,37.333333333333336
SV021,R,61,3,3,0,0,3,Response,897.9529411764706,1254.5,2407.229411764706,3270.0,522.8823529411765,946.0,209.64705882352942,2.7722222222222226,19.6,197.66666666666666,695.0,44.22222222222222
SV021,R,62,3,3,1,1,3,Response,2927.157142857143,3270.0,2102.828571428571,2612.3,680.1428571428571,1006.0,186.85714285714286,5.525,14.0,383.625,941.0,90.0
SV021,R,63,3,0,0,0,3,Response,1054.2333333333333,1319.4,2042.8555555555556,3112.5,713.4444444444445,960.0,164.0,5.03,16.3,229.0,520.0,47.2
SV021,R,64,2,2,0,1,2,Response,2983.06,3270.0,2155.0299999999997,2945.6,615.5,1027.0,167.6,3.436363636363636,8.5,299.1818181818182,1320.0,60.72727272727273
SV021,R,65,2,3,1,1,3,Response,2706.871428571428,2934.3,1586.8714285714286,2112.6,836.2857142857143,1016.0,250.28571428571428,3.0875,10.0,131.25,314.0,26.0
SV021,R,66,2,3,0,0,3,Response,1146.575,1167.4,1484.05,1566.7,772.75,794.0,423.0,1.86,3.6,157.0,213.0,44.0
SV021,R,67,3,0,0,0,3,Response,1405.4727272727273,1699.5,2341.218181818182,2581.7,666.2727272727273,939.0,145.8181818181818,3.4583333333333335,10.6,239.5,774.0,63.333333333333336
SV021,R,68,2,3,0,1,3,Response,3165.4444444444443,3270.0,2364.722222222222,3073.7,346.8888888888889,1007.0,211.11111111111111,4.35,20.2,281.6,1082.0,70.0
SV021,R,69,2,0,0,0,3,Response,1106.18,1600.0,2369.0666666666666,3270.0,652.1333333333333,995.0,195.2,3.41875,7.3,271.875,505.0,54.0
SV021,R,70,2,3,1,1,3,Response,3035.976923076923,3270.0,2514.4,3270.0,455.0769230769231,958.0,170.76923076923077,4.507142857142857,20.0,317.85714285714283,766.0,96.28571428571429
SV021,R,71,2,3,0,1,3,Response,3123.1666666666665,3270.0,2257.2444444444445,2859.1,425.6666666666667,926.0,234.66666666666666,6.0600000000000005,21.5,421.5,1258.0,41.2
SV021,R,72,3,0,0,1,3,Response,2992.628571428572,3270.0,1981.1142857142856,2330.3,593.5714285714286,868.0,316.0,6.057142857142857,11.1,691.1428571428571,1314.0,144.0
SV021,R,73,3,3,1,1,3,Response,3107.0913043478263,3270.0,2815.913043478261,3270.0,286.95652173913044,1030.0,153.56521739130434,2.170833333333333,19.7,228.33333333333334,989.0,48.833333333333336
SV021,R,74,3,3,1,0,3,Response,1295.7875,1621.7,2515.1875,2911.0,737.0,882.0,255.0,5.444444444444445,14.2,375.22222222222223,1011.0,77.77777777777777
SV021,R,75,3,0,1,0,3,Response,1204.9,1615.6,1985.1625,2376.0,850.25,988.0,192.0,3.8000000000000003,10.6,185.66666666666666,412.0,42.666666666666664
SV021,R,76,3,2,0,0,2,Response,1223.5666666666666,1473.8,1572.3,1899.0,762.5,949.0,251.33333333333334,2.757142857142857,6.1,172.85714285714286,321.0,49.714285714285715
SV021,R,77,3,3,0,1,3,Response,3094.8222222222225,3270.0,2389.0555555555557,3270.0,477.1111111111111,904.0,271.55555555555554,6.088888888888889,12.3,326.77777777777777,799.0,102.22222222222223
SV021,R,78,3,2,0,0,3,Response,1198.6307692307694,1591.8,1939.5615384615385,3075.1,779.5384615384615,1038.0,256.9230769230769,3.3642857142857143,8.5,261.7857142857143,807.0,65.71428571428571
SV021,R,79,2,0,1,0,3,Response,1341.6277777777777,1742.6,2386.2944444444447,3270.0,735.2777777777778,1056.0,137.33333333333334,3.7210526315789476,16.0,246.89473684210526,746.0,59.578947368421055
SV021,R,80,2,2,0,1,2,Response,2960.8454545454547,3270.0,2476.481818181818,3078.1,532.9090909090909,998.0,241.0909090909091,2.354545454545455,9.3,220.8181818181818,461.0,79.27272727272727
SV021,R,81,3,2,1,0,2,Response,1125.659090909091,1433.5,2368.981818181818,3270.0,633.6818181818181,901.0,126.0,2.9545454545454546,12.0,183.72727272727272,476.0,46.36363636363637
SV021,R,82,2,0,0,1,3,Response,3197.06,3270.0,2641.415,3130.6,263.5,1071.0,133.2,2.5,21.6,241.57142857142858,1029.0,49.904761904761905
SV021,R,83,3,3,0,0,3,Response,1169.1333333333334,1471.6,2423.5555555555557,3270.0,612.5,924.0,184.22222222222223,2.618918918918919,7.5,205.35135135135135,542.0,37.83783783783784
SV021,R,84,3,2,1,0,2,Response,1215.7714285714285,1774.8,2254.0,3270.0,654.8571428571429,990.0,254.85714285714286,4.128571428571428,8.7,239.42857142857142,358.0,31.428571428571427
